Body Regions;A01
Anatomic Landmarks;A01.111
Breast;A01.236
Mammary Glands, Human;A01.236.249
Nipples;A01.236.500
Extremities;A01.378
Amputation Stumps;A01.378.100
Lower Extremity;A01.378.610
Ankle;A01.378.610.050
Buttocks;A01.378.610.100
Foot;A01.378.610.250
Forefoot, Human;A01.378.610.250.300
Metatarsus;A01.378.610.250.300.480
Toes;A01.378.610.250.300.792
Hallux;A01.378.610.250.300.792.380
Heel;A01.378.610.250.510
Hip;A01.378.610.400
Knee;A01.378.610.450
Leg;A01.378.610.500
Thigh;A01.378.610.750
Upper Extremity;A01.378.800
Arm;A01.378.800.075
Axilla;A01.378.800.090
Elbow;A01.378.800.420
Forearm;A01.378.800.585
Hand;A01.378.800.667
Fingers;A01.378.800.667.430
Thumb;A01.378.800.667.430.705
Metacarpus;A01.378.800.667.572
Shoulder;A01.378.800.750
Wrist;A01.378.800.875
Head;A01.456
Ear;A01.456.313
Face;A01.456.505
Cheek;A01.456.505.173
Chin;A01.456.505.259
Eye;A01.456.505.420
Eyebrows;A01.456.505.420.338
Eyelids;A01.456.505.420.504
Eyelashes;A01.456.505.420.504.421
Forehead;A01.456.505.580
Mouth;A01.456.505.631
Lip;A01.456.505.631.515
Nasolabial Fold;A01.456.505.682
Nose;A01.456.505.733
Parotid Region;A01.456.505.750
Superficial Musculoaponeurotic System;A01.456.505.875
Scalp;A01.456.810
Skull Base;A01.456.830
Cranial Fossa, Anterior;A01.456.830.150
Cranial Fossa, Middle;A01.456.830.165
Cranial Fossa, Posterior;A01.456.830.200
Jugular Foramina;A01.456.830.200.500
Infratemporal Fossa;A01.456.830.600
Parapharyngeal Space;A01.456.830.800
Neck;A01.598
Parapharyngeal Space;A01.598.250
Superficial Musculoaponeurotic System;A01.598.500
Organs at Risk;A01.635
Perineum;A01.719
Torso;A01.923
Abdomen;A01.923.047
Abdominal Cavity;A01.923.047.025
Peritoneum;A01.923.047.025.600
Douglas' Pouch;A01.923.047.025.600.225
Mesentery;A01.923.047.025.600.451
Mesocolon;A01.923.047.025.600.451.535
Omentum;A01.923.047.025.600.573
Peritoneal Cavity;A01.923.047.025.600.678
Peritoneal Stomata;A01.923.047.025.600.700
Retroperitoneal Space;A01.923.047.025.750
Abdominal Wall;A01.923.047.050
Groin;A01.923.047.365
Inguinal Canal;A01.923.047.412
Umbilicus;A01.923.047.849
Back;A01.923.176
Lumbosacral Region;A01.923.176.519
Sacrococcygeal Region;A01.923.176.780
Pelvis;A01.923.600
Lesser Pelvis;A01.923.600.500
Pelvic Floor;A01.923.600.600
Thorax;A01.923.761
Thoracic Cavity;A01.923.761.800
Mediastinum;A01.923.761.800.500
Pleural Cavity;A01.923.761.800.650
Thoracic Wall;A01.923.761.850
Transplant Donor Site;A01.935
Transplants;A01.941
Allografts;A01.941.500
Allogeneic Cells;A01.941.500.500
Autografts;A01.941.750
Bone-Patellar Tendon-Bone Grafts;A01.941.812
Composite Tissue Allografts;A01.941.843
Heterografts;A01.941.875
Isografts;A01.941.937
Trigger Points;A01.947
Viscera;A01.960
Musculoskeletal System;A02
Aponeurosis;A02.083
Cartilage;A02.165
Elastic Cartilage;A02.165.257
Ear Cartilage;A02.165.257.250
Laryngeal Cartilages;A02.165.257.625
Arytenoid Cartilage;A02.165.257.625.083
Cricoid Cartilage;A02.165.257.625.211
Epiglottis;A02.165.257.625.411
Thyroid Cartilage;A02.165.257.625.870
Fibrocartilage;A02.165.308
Intervertebral Disc;A02.165.308.410
Annulus Fibrosus;A02.165.308.410.250
Nucleus Pulposus;A02.165.308.410.500
Meniscus;A02.165.308.538
Menisci, Tibial;A02.165.308.538.500
Palmar Plate;A02.165.308.575
Plantar Plate;A02.165.308.650
Triangular Fibrocartilage;A02.165.308.800
Hyaline Cartilage;A02.165.407
Cartilage, Articular;A02.165.407.150
Costal Cartilage;A02.165.407.325
Laryngeal Cartilages;A02.165.407.500
Arytenoid Cartilage;A02.165.407.500.083
Cricoid Cartilage;A02.165.407.500.211
Epiglottis;A02.165.407.500.411
Thyroid Cartilage;A02.165.407.500.870
Nasal Cartilages;A02.165.407.550
Fascia;A02.340
Fascia Lata;A02.340.424
Tenon Capsule;A02.340.800
Ligaments;A02.513
Broad Ligament;A02.513.170
Ligaments, Articular;A02.513.514
Anterior Cruciate Ligament;A02.513.514.100
Collateral Ligaments;A02.513.514.162
Collateral Ligament, Ulnar;A02.513.514.162.250
Lateral Ligament, Ankle;A02.513.514.162.500
Medial Collateral Ligament, Knee;A02.513.514.162.600
Ligamentum Flavum;A02.513.514.287
Longitudinal Ligaments;A02.513.514.350
Patellar Ligament;A02.513.514.475
Plantar Plate;A02.513.514.538
Posterior Cruciate Ligament;A02.513.514.600
Round Ligament of Femur;A02.513.514.800
Round Ligaments;A02.513.901
Round Ligament of Femur;A02.513.901.500
Round Ligament of Liver;A02.513.901.750
Round Ligament of Uterus;A02.513.901.875
Muscles;A02.633
Muscle, Skeletal;A02.633.567
Abdominal Muscles;A02.633.567.050
Abdominal Oblique Muscles;A02.633.567.050.375
